order_id,customer_id,order_date,order_status,payment_method,subtotal,discount_amount,shipping_fee,tax_amount,total_order_value,delivery_city,delivery_state,coupon_code,is_failed_order,is_returned,revenue_leakage_flag,refund_amount,revenue_loss_amount,net_revenue
1,9710,2024-10-21,Delivered,UPI,173895.89,14353.71,0.0,28717.59,188259.77,Chennai,Tamil Nadu,FESTIVE20,No,No,No,105,0.0,188154.77
2,8445,2025-01-19,Returned,UPI,3746.92,478.77,0.0,588.27,3856.42,Jaipur,Rajasthan,PAYTM50,No,Yes,Yes,106,106.0,3750.42
3,4423,2026-06-18,Delivered,Credit Card,586.38,17.06,50.0,102.48,721.8,Patna,Bihar,PAYTM50,No,No,No,436,0.0,285.79999999999995
4,8002,2025-08-25,Delivered,Credit Card,999.21,1.45,50.0,179.6,1227.36,Chennai,Tamil Nadu,FESTIVE20,No,No,No,82,0.0,1145.36
5,8002,2025-10-06,Delivered,Debit Card,14443.14,1884.46,0.0,2260.56,14819.24,Chennai,Tamil Nadu,SAVE10,No,No,No,494,0.0,14325.24
6,3386,2025-06-25,Failed,UPI,13011.06,0.0,0.0,2341.99,15353.05,Pune,Maharashtra,No Coupon,Yes,No,Yes,11,15353.05,15342.05
7,3386,2025-07-13,Failed,UPI,3718.85,0.0,0.0,669.39,4388.24,Pune,Maharashtra,No Coupon,Yes,No,Yes,368,4388.24,4020.24
8,9439,2024-08-25,Delivered,Debit Card,33333.49,0.0,0.0,6000.03,39333.52,Hyderabad,Telangana,No Coupon,No,No,No,375,0.0,38958.52
9,9439,2024-10-05,Delivered,UPI,11372.29,999.88,0.0,1867.03,12239.44,Hyderabad,Telangana,PAYTM50,No,No,No,354,0.0,11885.44
10,6899,2026-04-29,Delivered,Credit Card,70182.53,0.0,0.0,12632.86,82815.39,Delhi,Delhi,No Coupon,No,No,No,363,0.0,82452.39
11,5715,2025-10-27,Delivered,Credit Card,155839.59,0.0,0.0,28051.13,183890.72,Lucknow,Uttar Pradesh,No Coupon,No,No,No,155,0.0,183735.72
12,5715,2025-11-11,Delivered,COD,1071.66,16.44,0.0,189.94,1245.16,Lucknow,Uttar Pradesh,BIGBASH,No,No,No,460,0.0,785.1600000000001
13,8863,2026-01-04,Cancelled,UPI,3093.55,53.2,0.0,547.26,3587.61,Lucknow,Uttar Pradesh,WELCOME100,No,No,No,50,0.0,3537.61
14,6308,2025-05-22,Delivered,Net Banking,1067.91,0.0,0.0,192.22,1260.13,Delhi,Delhi,No Coupon,No,No,No,40,0.0,1220.13
15,6308,2025-06-21,Delivered,Credit Card,22894.15,0.0,0.0,4120.95,27015.1,Delhi,Delhi,No Coupon,No,No,No,60,0.0,26955.1
16,8840,2024-12-18,Cancelled,Credit Card,48918.78,216.04,0.0,8766.49,57469.23,Indore,Madhya Pradesh,PAYTM50,No,No,No,49,0.0,57420.23
17,8840,2025-01-21,Delivered,UPI,52781.82,3524.93,0.0,8866.24,58123.13,Indore,Madhya Pradesh,SAVE10,No,No,No,223,0.0,57900.13
18,6477,2026-04-25,Delivered,UPI,160067.77,0.0,0.0,28812.2,188879.97,Patna,Bihar,No Coupon,No,No,No,286,0.0,188593.97
19,6477,2026-06-02,Delivered,Credit Card,35032.56,2667.78,0.0,5825.66,38190.44,Patna,Bihar,PAYTM50,No,No,No,295,0.0,37895.44
20,6563,2025-07-26,Delivered,Credit Card,1043.73,0.0,0.0,187.87,1231.6,Mumbai,Maharashtra,No Coupon,No,No,No,296,0.0,935.6
21,6563,2025-08-22,Returned,UPI,1939.57,0.0,0.0,349.12,2288.69,Mumbai,Maharashtra,No Coupon,No,Yes,Yes,34,34.0,2254.69
22,1601,2025-05-21,Failed,Credit Card,65517.02,1317.06,0.0,11555.99,75755.95,Mumbai,Maharashtra,WELCOME100,Yes,No,Yes,334,75755.95,75421.95
23,2274,2025-09-12,Returned,UPI,66573.21,9801.59,0.0,10218.89,66990.51,Chennai,Tamil Nadu,PAYTM50,No,Yes,Yes,296,296.0,66694.51
24,2274,2025-10-09,Delivered,COD,2531.12,304.14,0.0,400.86,2627.84,Chennai,Tamil Nadu,PAYTM50,No,No,No,295,0.0,2332.84
25,9926,2024-08-11,Delivered,Credit Card,101863.77,9030.84,0.0,16709.93,109542.86,Ahmedabad,Gujarat,PAYTM50,No,No,No,76,0.0,109466.86
26,9926,2024-09-25,Returned,UPI,1328.4,52.95,0.0,229.58,1505.03,Ahmedabad,Gujarat,WELCOME100,No,Yes,Yes,394,394.0,1111.03
