return_refund_id,order_id,order_item_id,return_type,return_request_date,return_reason,returned_quantity,product_condition,refund_status,refund_request_date,refund_processed_date,refund_amount,reverse_logistics_cost,restocking_cost,refund_delay_days,is_full_refund
1,2,6,Wrong Item,2025-01-27,Late Delivery,1,Sellable,Processed,2025-01-27,2025-01-29,720.76,51.12,21.71,3,Yes
2,2,7,Late Delivery,2025-01-24,Late Delivery,1,Sellable,Processed,2025-01-24,2025-01-27,2547.39,52.24,12.02,1,Yes
3,6,11,Late Delivery,2025-07-03,Customer Refused,3,Damaged,Processed,2025-07-03,2025-07-06,13011.06,139.54,38.02,7,Yes
4,9,15,Quality Issue,2024-10-12,Customer Refused,1,Opened,Pending,2024-10-13,2024-10-14,8830.46,62.43,36.22,5,Yes
5,9,16,Late Delivery,2024-10-11,Customer Refused,1,Sellable,Processed,2024-10-12,2024-10-13,1541.95,69.52,33.61,6,Yes
6,10,17,Late Delivery,2026-05-06,Customer Refused,1,Sellable,Processed,2026-05-06,2026-05-08,1776.89,119.66,30.55,4,Yes
7,10,18,Late Delivery,2026-05-06,Customer Refused,1,Opened,Processed,2026-05-06,2026-05-07,63693.01,120.08,17.35,9,Yes
8,10,19,Quality Issue,2026-05-06,Customer Refused,1,Damaged,Processed,2026-05-06,2026-05-08,844.52,106.97,36.68,8,Yes
9,10,20,Quality Issue,2026-05-04,Customer Refused,1,Opened,Processed,2026-05-04,2026-05-06,3868.11,89.79,22.69,4,Yes
10,11,21,Wrong Item,2025-11-03,Customer Refused,1,Opened,Processed,2025-11-03,2025-11-05,80324.28,63.17,31.72,7,Yes
11,11,22,Late Delivery,2025-11-03,Customer Refused,1,Damaged,Failed,2025-11-03,2025-11-05,75515.31,119.54,17.25,1,Yes
12,12,23,Wrong Item,2025-11-16,Late Delivery,1,Sellable,Processed,2025-11-16,2025-11-19,1055.22,141.83,26.82,8,Yes
13,13,24,Late Delivery,2026-01-13,Customer Refused,1,Damaged,Pending,2026-01-13,2026-01-16,3040.35,98.66,34.32,1,Yes
14,14,25,Late Delivery,2025-05-29,Customer Refused,1,Damaged,Processed,2025-05-29,2025-06-01,1067.91,122.59,19.94,3,Yes
15,18,31,Wrong Item,2026-05-05,Changed Mind,1,Opened,Processed,2026-05-05,2026-05-06,131194.89,114.31,21.67,7,Yes
16,19,32,Wrong Item,2026-06-10,Customer Refused,1,Damaged,Processed,2026-06-10,2026-06-11,30506.65,80.0,31.43,5,Yes
17,19,33,Wrong Item,2026-06-09,Customer Refused,1,Opened,Processed,2026-06-09,2026-06-11,1273.29,141.91,19.12,2,Yes
18,19,34,Wrong Item,2026-06-08,Customer Refused,1,Opened,Processed,2026-06-08,2026-06-10,584.84,66.64,17.67,8,Yes
19,21,36,Wrong Item,2025-08-27,Customer Refused,1,Damaged,Processed,2025-08-27,2025-08-28,1939.57,85.49,39.8,2,Yes
20,22,37,Late Delivery,2025-05-28,Damaged Product,1,Sellable,Processed,2025-05-28,2025-05-31,61209.01,102.27,15.36,9,Yes
21,22,38,Late Delivery,2025-05-27,Product Quality,1,Defective,Processed,2025-05-27,2025-05-29,2990.95,138.38,33.62,1,Yes
22,23,39,Quality Issue,2025-09-17,Late Delivery,1,Damaged,Processed,2025-09-17,2025-09-18,56771.62,71.37,41.24,1,Yes
23,24,40,Quality Issue,2025-10-13,Customer Refused,1,Sellable,Processed,2025-10-13,2025-10-15,2226.98,98.77,25.76,4,Yes
24,26,44,Quality Issue,2024-10-01,Late Delivery,2,Opened,Processed,2024-10-01,2024-10-04,1275.45,70.83,11.53,8,Yes
25,27,45,Late Delivery,2024-12-31,Late Delivery,2,Damaged,Processed,2024-12-31,2025-01-02,3714.24,120.9,17.8,2,Yes
26,28,46,Late Delivery,2025-01-22,Late Delivery,1,Opened,Processed,2025-01-22,2025-01-25,2023.0,123.04,37.49,3,Yes
27,30,48,Wrong Item,2025-08-04,Late Delivery,1,Sellable,Processed,2025-08-04,2025-08-05,37062.54,71.28,23.57,3,Yes
28,30,49,Quality Issue,2025-08-07,Late Delivery,1,Sellable,Pending,2025-08-07,2025-08-08,3803.17,58.56,18.76,8,Yes
29,34,57,Quality Issue,2026-06-02,Customer Refused,2,Damaged,Processed,2026-06-02,2026-06-04,2529.53,145.04,22.55,4,Yes
30,36,59,Late Delivery,2025-04-10,Late Delivery,1,Opened,Processed,2025-04-10,2025-04-13,2783.2,78.65,31.71,5,Yes
31,38,61,Wrong Item,2024-12-30,Not as Described,1,Sellable,Processed,2024-12-30,2025-01-02,827.58,122.27,21.6,7,Yes
32,40,64,Quality Issue,2025-03-11,Size/Fit Issue,1,Defective,Processed,2025-03-11,2025-03-12,3311.44,162.67,22.89,2,Yes
33,41,68,Late Delivery,2024-09-14,Size/Fit Issue,1,Defective,Processed,2024-09-14,2024-09-17,3173.04,104.91,31.18,9,Yes
34,41,70,Wrong Item,2024-09-14,Size/Fit Issue,1,Opened,Processed,2024-09-15,2024-09-17,2178.69,130.3,19.31,8,Yes
35,43,72,Wrong Item,2026-06-09,Customer Refused,1,Sellable,Processed,2026-06-09,2026-06-10,369.78,66.03,39.68,4,Yes
36,44,73,Late Delivery,2024-10-31,Customer Refused,1,Opened,Processed,2024-11-01,2024-11-03,362.58,125.96,38.5,3,Yes
37,45,74,Quality Issue,2025-06-04,Customer Refused,1,Damaged,Processed,2025-06-05,2025-06-07,2599.28,81.34,29.27,1,Yes
38,47,76,Late Delivery,2024-10-10,Late Delivery,1,Damaged,Processed,2024-10-10,2024-10-12,708.95,149.65,18.39,5,Yes
39,49,78,Late Delivery,2025-11-03,Late Delivery,1,Sellable,Pending,2025-11-03,2025-11-05,76783.54,123.41,14.32,5,Yes
40,49,79,Late Delivery,2025-11-05,Late Delivery,1,Opened,Processed,2025-11-05,2025-11-06,986.9,110.89,20.52,9,Yes
41,49,80,Quality Issue,2025-11-05,Late Delivery,1,Damaged,Processed,2025-11-05,2025-11-06,3014.06,112.18,11.88,1,Yes
42,49,81,Wrong Item,2025-11-05,Late Delivery,2,Sellable,Processed,2025-11-05,2025-11-06,89290.84,106.02,31.77,4,Yes
43,49,82,Quality Issue,2025-11-03,Late Delivery,1,Sellable,Processed,2025-11-03,2025-11-04,2482.25,127.71,29.12,4,Yes
44,50,83,Wrong Item,2025-12-15,Customer Refused,1,Opened,Processed,2025-12-15,2025-12-17,29454.82,130.7,35.91,4,Yes
45,53,90,Quality Issue,2024-08-21,Late Delivery,1,Damaged,Processed,2024-08-21,2024-08-23,8753.11,129.59,23.8,3,Yes
46,53,91,Quality Issue,2024-08-20,Late Delivery,1,Opened,Processed,2024-08-20,2024-08-23,1464.98,52.73,22.47,9,Yes
47,53,92,Wrong Item,2024-08-18,Late Delivery,1,Sellable,Processed,2024-08-18,2024-08-20,96143.92,137.75,37.92,4,Yes
48,55,95,Late Delivery,2025-11-28,Size/Fit Issue,1,Sellable,Pending,2025-11-28,2025-12-01,3244.36,81.22,35.1,3,Yes
49,58,98,Quality Issue,2025-09-12,Damaged Product,2,Damaged,Processed,2025-09-13,,0.0,151.92,15.4,7,No
50,59,100,Late Delivery,2025-09-30,Customer Refused,2,Damaged,Processed,2025-10-01,2025-10-04,59992.1,90.74,33.77,8,Yes
51,60,101,Wrong Item,2025-06-07,Customer Refused,1,Sellable,Pending,2025-06-07,2025-06-09,949.29,118.07,14.18,3,Yes
52,60,102,Late Delivery,2025-06-09,Customer Refused,1,Opened,Processed,2025-06-09,2025-06-12,761.45,81.83,16.12,7,Yes
53,60,103,Late Delivery,2025-06-09,Customer Refused,1,Sellable,Pending,2025-06-09,2025-06-12,2010.76,81.17,32.87,9,Yes
54,60,104,Quality Issue,2025-06-10,Customer Refused,1,Sellable,Processed,2025-06-10,2025-06-12,231.54,138.1,27.23,6,Yes
55,63,107,Wrong Item,2025-05-22,Customer Refused,2,Sellable,Processed,2025-05-22,2025-05-25,2796.75,76.98,36.39,7,Yes
56,63,108,Late Delivery,2025-05-20,Customer Refused,1,Damaged,Processed,2025-05-20,2025-05-23,1358.81,103.04,31.51,8,Yes
57,64,109,Late Delivery,2025-11-09,Late Delivery,3,Sellable,Processed,2025-11-09,2025-11-12,213264.58,116.51,36.29,2,Yes
58,64,110,Quality Issue,2025-11-09,Late Delivery,2,Opened,Processed,2025-11-09,2025-11-12,95396.24,117.1,19.23,1,Yes
59,65,111,Late Delivery,2026-07-07,Customer Refused,1,Damaged,Failed,2026-07-07,2026-07-10,5859.63,91.14,38.24,1,Yes
60,66,112,Wrong Item,2026-08-14,Customer Refused,1,Opened,Pending,2026-08-14,2026-08-15,2877.25,72.11,13.36,4,Yes
61,67,113,Wrong Item,2024-12-10,Late Delivery,1,Damaged,Pending,2024-12-10,2024-12-11,2642.32,111.32,14.55,5,Yes
62,70,117,Wrong Item,2024-11-05,Late Delivery,2,Opened,Processed,2024-11-05,2024-11-08,4243.04,125.75,26.45,1,Yes
63,71,118,Late Delivery,2025-08-20,Customer Refused,2,Damaged,Failed,2025-08-20,2025-08-23,4626.76,90.62,24.74,4,Yes
64,72,119,Wrong Item,2025-11-20,Not as Described,1,Sellable,Processed,2025-11-20,,3104.96,145.4,20.88,3,Yes
65,73,120,Wrong Item,2026-06-15,Late Delivery,1,Damaged,Processed,2026-06-15,2026-06-17,96292.57,126.89,19.0,7,Yes
66,74,121,Wrong Item,2026-07-28,Changed Mind,1,Sellable,Processed,2026-07-28,2026-08-01,39461.06,125.65,41.75,5,Yes
67,78,129,Wrong Item,2025-06-15,Customer Refused,1,Opened,Processed,2025-06-15,2025-06-16,2232.87,102.5,12.01,1,Yes
68,78,130,Wrong Item,2025-06-16,Customer Refused,1,Damaged,Processed,2025-06-16,2025-06-17,1686.06,80.46,23.83,9,Yes
69,79,131,Late Delivery,2026-07-14,Customer Refused,1,Sellable,Pending,2026-07-14,2026-07-15,377.92,98.45,38.81,1,Yes
70,79,132,Late Delivery,2026-07-15,Customer Refused,1,Opened,Processed,2026-07-15,2026-07-17,1896.6,82.01,23.19,9,Yes
71,80,133,Quality Issue,2026-07-30,Late Delivery,1,Damaged,Processed,2026-07-30,2026-07-31,2463.84,80.73,23.53,3,Yes
72,81,134,Late Delivery,2026-07-28,Product Quality,1,Sellable,Pending,2026-07-29,2026-07-30,5092.96,163.88,48.19,7,Yes
73,82,135,Wrong Item,2025-06-25,Customer Refused,1,Damaged,Processed,2025-06-25,2025-06-27,58790.28,130.52,31.99,1,Yes
74,83,136,Late Delivery,2025-06-23,Customer Refused,2,Sellable,Processed,2025-06-23,2025-06-26,2376.18,128.15,12.48,4,Yes
75,87,141,Late Delivery,2024-12-04,Late Delivery,1,Opened,Processed,2024-12-04,2024-12-05,1902.71,77.12,16.99,2,Yes
76,88,142,Late Delivery,2024-09-17,Customer Refused,1,Opened,Processed,2024-09-17,2024-09-20,2201.86,134.52,38.63,6,Yes
77,88,143,Quality Issue,2024-09-14,Customer Refused,2,Damaged,Pending,2024-09-14,2024-09-17,4302.08,138.4,28.13,2,Yes
78,88,144,Late Delivery,2024-09-13,Customer Refused,1,Damaged,Processed,2024-09-13,2024-09-16,386.48,97.61,17.72,5,Yes
79,88,145,Late Delivery,2024-09-17,Customer Refused,1,Damaged,Processed,2024-09-17,2024-09-19,1323.63,106.79,20.64,7,Yes
80,91,148,Wrong Item,2025-03-14,Late Delivery,1,Damaged,Processed,2025-03-14,2025-03-16,1056.27,57.36,15.43,5,Yes
81,92,149,Quality Issue,2025-04-14,Late Delivery,3,Damaged,Processed,2025-04-14,2025-04-17,3113.13,62.48,28.21,9,Yes
82,97,155,Quality Issue,2025-01-16,Customer Refused,1,Damaged,Processed,2025-01-17,2025-01-19,2502.66,85.65,35.4,6,Yes
83,97,156,Late Delivery,2025-01-17,Customer Refused,1,Sellable,Processed,2025-01-18,2025-01-20,2604.07,105.0,39.51,1,Yes
84,97,157,Late Delivery,2025-01-13,Customer Refused,1,Sellable,Processed,2025-01-14,2025-01-15,1709.88,72.38,15.57,8,Yes
85,97,158,Wrong Item,2025-01-16,Customer Refused,1,Sellable,Processed,2025-01-17,2025-01-20,6177.58,133.47,12.85,3,Yes
86,98,159,Wrong Item,2026-02-06,Customer Refused,1,Opened,Processed,2026-02-06,2026-02-08,3254.2,118.34,18.92,3,Yes
87,100,162,Wrong Item,2025-07-21,Late Delivery,1,Opened,Processed,2025-07-21,2025-07-24,1037.71,112.7,32.73,4,Yes
88,100,163,Wrong Item,2025-07-22,Late Delivery,1,Opened,Processed,2025-07-22,2025-07-23,4876.53,69.53,15.45,6,Yes
89,101,164,Wrong Item,2025-08-23,Customer Refused,1,Damaged,Processed,2025-08-23,2025-08-26,352.63,131.63,27.46,2,Yes
90,102,166,Wrong Item,2024-12-08,Size/Fit Issue,2,Opened,Pending,2024-12-08,2024-12-10,4081.61,141.94,41.51,3,Yes
91,103,168,Late Delivery,2025-01-12,Customer Refused,1,Opened,Processed,2025-01-12,2025-01-15,55280.49,127.48,27.84,5,Yes
92,104,169,Quality Issue,2026-03-21,Late Delivery,2,Damaged,Processed,2026-03-21,2026-03-22,64506.03,116.25,20.03,3,Yes
93,105,170,Wrong Item,2026-04-18,Late Delivery,1,Sellable,Processed,2026-04-18,2026-04-19,1641.29,66.58,11.8,7,Yes
94,107,175,Quality Issue,2026-05-31,Product Quality,1,Opened,Failed,2026-05-31,2026-06-02,88242.4,144.24,46.99,4,Yes
95,107,176,Quality Issue,2026-05-27,Product Quality,1,Sellable,Processed,2026-05-28,2026-06-01,2826.64,176.47,22.38,2,Yes
96,112,185,Quality Issue,2026-07-04,Customer Refused,1,Opened,Processed,2026-07-04,2026-07-07,2304.12,62.44,28.47,5,Yes
97,113,186,Wrong Item,2026-08-16,Customer Refused,1,Opened,Processed,2026-08-16,2026-08-18,2814.86,59.4,12.85,1,Yes
98,113,187,Quality Issue,2026-08-19,Customer Refused,2,Sellable,Processed,2026-08-19,2026-08-22,11382.13,72.7,38.55,4,Yes
99,118,194,Wrong Item,2025-10-12,Late Delivery,1,Damaged,Processed,2025-10-12,2025-10-13,154238.97,132.38,15.11,8,Yes
100,118,195,Wrong Item,2025-10-10,Late Delivery,1,Opened,Processed,2025-10-10,2025-10-11,1127.72,54.2,13.15,1,Yes
101,118,196,Quality Issue,2025-10-14,Late Delivery,1,Opened,Pending,2025-10-14,2025-10-17,89345.44,65.11,12.78,4,Yes
102,118,197,Quality Issue,2025-10-11,Late Delivery,1,Sellable,Pending,2025-10-11,2025-10-13,8390.9,62.89,25.41,4,Yes
103,118,198,Wrong Item,2025-10-12,Late Delivery,1,Sellable,Processed,2025-10-12,2025-10-13,1949.13,148.24,32.49,4,Yes
104,120,200,Quality Issue,2026-01-04,Customer Refused,1,Damaged,Processed,2026-01-04,2026-01-06,246.83,97.84,13.78,3,Yes
105,121,201,Late Delivery,2026-03-09,Customer Refused,2,Sellable,Pending,2026-03-09,2026-03-11,597.68,138.4,18.33,8,Yes
106,124,205,Wrong Item,2026-03-31,Late Delivery,1,Opened,Pending,2026-03-31,2026-04-02,8689.46,95.85,17.08,4,Yes
107,124,206,Wrong Item,2026-03-31,Late Delivery,1,Sellable,Processed,2026-03-31,2026-04-02,3833.19,119.84,21.31,5,Yes
108,125,207,Late Delivery,2026-04-26,Late Delivery,1,Opened,Processed,2026-04-26,2026-04-28,67349.49,106.27,16.18,4,Yes
109,125,208,Wrong Item,2026-04-27,Late Delivery,1,Opened,Processed,2026-04-27,2026-04-29,979.8,134.85,35.41,8,Yes
110,126,209,Wrong Item,2025-07-14,Customer Refused,1,Damaged,Processed,2025-07-14,2025-07-16,2488.93,65.97,36.57,7,Yes
111,128,211,Late Delivery,2025-05-08,Late Delivery,1,Opened,Processed,2025-05-08,2025-05-09,166717.66,135.52,33.5,8,Yes
112,129,212,Wrong Item,2025-01-14,Customer Refused,1,Opened,Failed,2025-01-15,2025-01-17,1546.51,107.67,29.68,6,Yes
113,130,213,Wrong Item,2025-02-05,Customer Refused,1,Opened,Processed,2025-02-06,2025-02-09,58872.03,81.51,36.02,6,Yes
114,131,214,Quality Issue,2024-12-01,Late Delivery,1,Sellable,Pending,2024-12-02,2024-12-05,25845.76,94.87,45.98,9,Yes
115,136,220,Quality Issue,2025-02-17,Customer Refused,1,Opened,Processed,2025-02-17,2025-02-18,28151.71,141.27,24.14,5,Yes
116,137,221,Late Delivery,2025-04-05,Late Delivery,1,Opened,Processed,2025-04-05,2025-04-07,517.5,77.26,11.34,8,Yes
117,137,222,Quality Issue,2025-04-06,Late Delivery,1,Sellable,Processed,2025-04-06,2025-04-08,123421.08,123.93,39.02,9,Yes
118,138,223,Late Delivery,2026-01-28,Late Delivery,1,Sellable,Processed,2026-01-28,2026-01-30,2642.32,65.39,24.25,6,Yes
119,138,224,Wrong Item,2026-01-26,Late Delivery,1,Sellable,Processed,2026-01-26,2026-01-27,22469.84,106.57,12.46,2,Yes
120,138,225,Quality Issue,2026-01-24,Late Delivery,3,Opened,Processed,2026-01-24,2026-01-26,192615.93,139.07,37.25,5,Yes
121,138,226,Quality Issue,2026-01-25,Late Delivery,3,Damaged,Processed,2026-01-25,2026-01-28,8821.65,143.95,13.51,6,Yes
122,138,227,Wrong Item,2026-01-27,Late Delivery,1,Opened,Processed,2026-01-27,2026-01-28,2410.54,79.36,32.7,4,Yes
123,139,228,Late Delivery,2024-09-22,Late Delivery,2,Damaged,Processed,2024-09-22,2024-09-24,879.63,88.85,30.26,9,Yes
124,141,230,Quality Issue,2025-11-20,Customer Refused,1,Opened,Processed,2025-11-20,2025-11-22,945.23,104.18,29.57,7,Yes
125,142,231,Wrong Item,2025-12-31,Damaged Product,1,Opened,Processed,2026-01-01,2026-01-04,129577.13,97.93,49.51,8,Yes
126,144,233,Quality Issue,2025-02-19,Customer Refused,1,Damaged,Processed,2025-02-19,2025-02-21,935.25,112.42,11.56,2,Yes
